Date,Volume,Open,Close,High,Low
12/20/19,2396777,185.75,182.84,185.75,182.62
12/23/19,903572,183.18,182.92,183.83,181.73
12/24/19,256197,183.2,183.91,184,182.82
12/26/19,634410,184.4,184.24,185.31,183.68
12/27/19,645182,185.3,185.38,185.64,183.7
12/30/19,999254,184.63,183.3,185.5,182.01
12/31/19,760339,183.05,183.46,184.32,182.31
1/2/20,1515128,184.21,187.83,187.89,181.88
1/3/20,737862,184.49,184.95,186.41,183.78
1/6/20,1021917,183.78,187.12,187.25,183.16
1/7/20,897889,186.13,187.5,188.17,185.1
1/8/20,1314830,188.22,189.95,190.5,187.03
1/9/20,1164494,191.71,191.94,192.7,190.68
1/10/20,708850,193.16,192.36,193.42,191.84
1/13/20,1454238,190,192.45,193.37,190
1/14/20,1146459,192.25,191.11,193.13,190.63
1/15/20,1444325,190.94,190.79,192.17,190.01
1/16/20,2196018,192.51,192.5,193.12,191.5
1/17/20,2384909,192.38,193.35,194.24,191.31
1/21/20,1455400,194.01,195.84,197.55,193.7
1/22/20,1068602,197.47,194.73,198.72,194.62
1/23/20,1687276,195.39,198.6,198.91,193.76
1/24/20,2437185,199.43,199.19,200.9,197.91
1/27/20,1837765,195.77,195.87,197.15,192.96
1/28/20,1270143,196.26,200.03,200.43,195.68
1/29/20,838460,200.92,199.74,201.57,198.86
1/30/20,1521004,198.42,198.99,200.84,196.98
1/31/20,1616556,198.77,196.85,199.32,193.31
2/3/20,888698,197.86,199.26,199.94,197.78
2/4/20,1093377,202,203.94,204.19,200.51
2/5/20,1366488,206.72,202.08,207.19,200.79
2/6/20,1326371,203.62,206,206.92,202.46
2/7/20,1410217,205.58,207.01,210.13,204.64
2/10/20,1556983,207.24,206.1,207.76,205.34
2/11/20,1289730,207.35,205.8,207.99,204.52
2/12/20,1177216,206.76,207.11,207.72,205.45
2/13/20,897453,206.34,207.51,208.47,206.34
2/14/20,996939,208.09,208.95,209.2,207.24
2/18/20,1342962,209.47,207.06,209.82,206.9
2/19/20,1569936,209.33,210.76,211.18,208.64
2/20/20,1527322,210.44,206.67,211.58,205.07
2/21/20,1774916,205,201.91,206.27,199.85
