,Date,code,Open,Close,High,Low,Vol,VoT,exchange,CLOSE,HIGH,LOW,MTR,DMP,DMM,PDI,MDI,ADX,ADXR
0,8/27/01,600519,-260.7,-260.49,-260.04,-261.03,406318,1410347000,56.83,-260.49,-260.04,-261.03,,,,,,,
1,8/28/01,600519,-260.6,-260.23,-260.2,-260.68,129647,463463000,18.13,-260.23,-260.2,-260.68,,,,,,,
2,8/29/01,600519,-260.2,-260.32,-260.2,-260.38,53252,194689000,7.45,-260.32,-260.2,-260.38,,,,,,,
3,8/30/01,600519,-260.34,-260.18,-260.1,-260.4,48013,177558000,6.72,-260.18,-260.1,-260.4,,,,,,,
4,8/31/01,600519,-260.17,-260.2,-260.08,-260.24,23231,86231000,3.25,-260.2,-260.08,-260.24,,,,,,,
5,9/3/01,600519,-260.16,-260.2,-260.09,-260.23,22112,82129000,3.09,-260.2,-260.09,-260.23,,,,,,,
6,9/4/01,600519,-260.2,-260.11,-259.98,-260.22,37006,139204000,5.18,-260.11,-259.98,-260.22,,,,,,,
7,9/5/01,600519,-260.08,-260.11,-260.02,-260.16,26066,97796000,3.65,-260.11,-260.02,-260.16,,,,,,,
8,9/6/01,600519,-260.13,-260.26,-260.11,-260.3,28997,107078000,4.06,-260.26,-260.11,-260.3,,,,,,,
9,9/7/01,600519,-260.3,-260.46,-260.21,-260.47,31552,113868000,4.41,-260.46,-260.21,-260.47,,,,,,,
10,9/10/01,600519,-260.52,-260.26,-260.23,-260.6,18878,68406000,2.64,-260.26,-260.23,-260.6,,,,,,,
11,9/11/01,600519,-260.24,-260.34,-260.21,-260.36,11390,41579000,1.59,-260.34,-260.21,-260.36,,,,,,,
12,9/12/01,600519,-260.53,-260.4,-260.36,-260.54,25045,89421000,3.5,-260.4,-260.36,-260.54,,,,,,,
13,9/13/01,600519,-260.4,-260.42,-260.34,-260.46,10986,39512000,1.54,-260.42,-260.34,-260.46,3.92,0.27,0.62,6.89,15.82,,
14,9/14/01,600519,-260.4,-260.34,-260.3,-260.44,7672,27740000,1.07,-260.34,-260.3,-260.44,3.07,0.31,0.62,10.1,20.2,,
15,9/17/01,600519,-260.38,-260.43,-260.34,-260.5,8983,32183000,1.26,-260.43,-260.34,-260.5,2.75,0.31,0.68,11.27,24.73,,
16,9/18/01,600519,-260.42,-260.35,-260.29,-260.43,10773,39006000,1.51,-260.35,-260.29,-260.43,2.71,0.36,0.68,13.28,25.09,,
17,9/19/01,600519,-260.34,-260.22,-260.22,-260.39,8650,31597000,1.21,-260.22,-260.22,-260.39,2.58,0.33,0.68,12.79,26.36,,
18,9/20/01,600519,-260.22,-260.28,-260.19,-260.3,11173,41189000,1.56,-260.28,-260.19,-260.3,2.53,0.34,0.68,13.44,26.88,34.8,
19,9/21/01,600519,-260.34,-260.39,-260.28,-260.4,7879,28638000,1.1,-260.39,-260.28,-260.4,2.51,0.34,0.78,13.55,31.08,34.79,
