,Date,code,Open,Close,High,Low,Vol,VoT,振幅,涨跌幅,涨跌额,exchange,CLOSE,HIGH,LOW,MTR,DMP,DMM,PDI,MDI,ADX,ADXR
0,2001-08-27,600519,34.51,35.55,37.78,32.85,406318,1410347000.0,15.71,13.25,4.16,56.83,35.55,37.78,32.85,,,,,,,
1,2001-08-28,600519,34.99,36.86,37.0,34.61,129647,463463000.0,6.72,3.68,1.31,18.13,36.86,37.0,34.61,,,,,,,
2,2001-08-29,600519,36.98,36.38,37.0,36.1,53252,194689000.0,2.44,-1.3,-0.48,7.45,36.38,37.0,36.1,,,,,,,
3,2001-08-30,600519,36.28,37.1,37.51,36.0,48013,177558000.0,4.15,1.98,0.72,6.72,37.1,37.51,36.0,,,,,,,
4,2001-08-31,600519,37.15,37.01,37.62,36.8,23231,86231000.0,2.21,-0.24,-0.09,3.25,37.01,37.62,36.8,,,,,,,
5,2001-09-03,600519,37.2,36.99,37.57,36.85,22112,82129000.0,1.95,-0.05,-0.02,3.09,36.99,37.57,36.85,,,,,,,
6,2001-09-04,600519,37.01,37.46,38.08,36.88,37006,139204000.0,3.24,1.27,0.47,5.18,37.46,38.08,36.88,,,,,,,
7,2001-09-05,600519,37.61,37.44,37.92,37.21,26066,97796000.0,1.9,-0.05,-0.02,3.65,37.44,37.92,37.21,,,,,,,
8,2001-09-06,600519,37.35,36.7,37.47,36.51,28997,107078000.0,2.56,-1.98,-0.74,4.06,36.7,37.47,36.51,,,,,,,
9,2001-09-07,600519,36.5,35.68,36.95,35.65,31552,113868000.0,3.54,-2.78,-1.02,4.41,35.68,36.95,35.65,,,,,,,
10,2001-09-10,600519,35.4,36.7,36.85,35.01,18878,68406000.0,5.16,2.86,1.02,2.64,36.7,36.85,35.01,,,,,,,
11,2001-09-11,600519,36.8,36.29,36.95,36.2,11390,41579000.0,2.04,-1.12,-0.41,1.59,36.29,36.95,36.2,,,,,,,
12,2001-09-12,600519,35.33,35.98,36.2,35.3,25045,89421000.0,2.48,-0.85,-0.31,3.5,35.98,36.2,35.3,,,,,,,
13,2001-09-13,600519,36.01,35.89,36.3,35.7,10986,39512000.0,1.67,-0.25,-0.09,1.54,35.89,36.3,35.7,19.62,1.33,3.1,6.78,15.8,,
14,2001-09-14,600519,36.01,36.3,36.5,35.8,7672,27740000.0,1.95,1.14,0.41,1.07,36.3,36.5,35.8,15.39,1.53,3.1,9.94,20.14,,
15,2001-09-17,600519,36.08,35.84,36.29,35.5,8983,32183000.0,2.18,-1.27,-0.46,1.26,35.84,36.29,35.5,13.8,1.53,3.4,11.09,24.64,,
16,2001-09-18,600519,35.88,36.25,36.55,35.85,10773,39006000.0,1.95,1.14,0.41,1.51,36.25,36.55,35.85,13.61,1.79,3.4,13.15,24.98,,
17,2001-09-19,600519,36.3,36.92,36.92,36.06,8650,31597000.0,2.37,1.85,0.67,1.21,36.92,36.92,36.06,12.96,1.65,3.4,12.73,26.23,,
18,2001-09-20,600519,36.9,36.61,37.05,36.5,11173,41189000.0,1.49,-0.84,-0.31,1.56,36.61,37.05,36.5,12.69,1.67,3.4,13.16,26.79,35.27,
19,2001-09-21,600519,36.28,36.06,36.6,36.0,7879,28638000.0,1.64,-1.5,-0.55,1.1,36.06,36.6,36.0,12.58,1.67,3.9,13.28,31.0,35.28,
20,2001-09-24,600519,36.06,36.05,36.39,36.0,4068,14703000.0,1.08,-0.03,-0.01,0.57,36.05,36.39,36.0,11.77,1.16,3.9,9.86,33.14,38.65,
21,2001-09-25,600519,36.28,36.23,36.54,36.05,3488,12639000.0,1.36,0.5,0.18,0.49,36.23,36.54,36.05,11.55,1.31,3.9,11.34,33.77,40.62,
