Date,code,Open,Close,High,Low,Vol,VoT,exchange
5/28/25,600519,1516.39,1509.4,1518.86,1505.4,16266,2504624605,0.13
5/29/25,600519,1512.4,1512.4,1527.4,1504.4,21860,3375465796,0.17
5/30/25,600519,1512.55,1494.4,1517.4,1487.64,31239,4764875947,0.25
6/3/25,600519,1480.41,1481.4,1491.4,1477.42,28979,4377892799,0.23
6/4/25,600519,1482.9,1482.36,1495.4,1481.62,23008,3480363797,0.18
6/5/25,600519,1486.4,1486.4,1488.4,1474.6,23214,3504925524,0.18
6/6/25,600519,1486.2,1478.79,1491.37,1475.4,25023,3777727616,0.2
6/9/25,600519,1477.42,1458.51,1481.1,1458.08,44959,6723839138,0.36
6/10/25,600519,1458.4,1447.41,1464.4,1447.2,30492,4511934584,0.24
6/11/25,600519,1449.2,1452.4,1466.4,1448.5,30893,4585522755,0.25
6/12/25,600519,1452.4,1431.4,1456.27,1426.5,49904,7306800800,0.4
6/13/25,600519,1416.81,1399.35,1422.37,1397.46,59113,8466515559,0.47
6/16/25,600519,1373.6,1394.69,1397.44,1373.58,42888,6060448438,0.34
6/17/25,600519,1392.4,1399.4,1399.4,1384.58,27232,3868364671,0.22
6/18/25,600519,1412.4,1397.4,1415.84,1393.41,30761,4404131364,0.24
6/19/25,600519,1398.4,1398.4,1406.07,1389.58,24501,3490268568,0.2
6/20/25,600519,1395.98,1401.06,1413.54,1392.6,34816,4990683314,0.28
6/23/25,600519,1392.4,1392.4,1405.4,1377.58,26723,3794012343,0.21
6/24/25,600519,1395.75,1409.6,1424.08,1395.75,36312,5229183514,0.29
6/25/25,600519,1411.51,1408.26,1421.6,1392.91,41050,5869292227,0.33
6/26/25,600519,1415,1420,1428,1410.08,34860,4955829982,0.28
6/27/25,600519,1420.01,1403.09,1423,1403.09,38250,5404312675,0.3
6/30/25,600519,1403.5,1409.52,1413.23,1402,30457,4287373691,0.24
7/1/25,600519,1409,1405.1,1411.94,1403.31,19878,2794423203,0.16
7/2/25,600519,1409.5,1409.6,1414.8,1400,26218,3689246316,0.21
7/3/25,600519,1412,1415.6,1422.69,1408,24413,3456733002,0.19
7/4/25,600519,1415.7,1422.22,1431.89,1410.01,28767,4086547268,0.23
7/7/25,600519,1422.28,1410.7,1423.5,1410.01,23855,3370562659,0.19
7/8/25,600519,1410.71,1416.11,1420,1410.7,18674,2643302691,0.15
7/9/25,600519,1415,1418.88,1429.97,1414.17,27745,3950810723,0.22
7/10/25,600519,1418.97,1426.5,1436.18,1410.4,38725,5503329754,0.31
7/11/25,600519,1423.16,1427,1458,1423.16,57243,8239010390,0.46
7/14/25,600519,1430,1423.6,1434.98,1421.6,27781,3961736006,0.22
7/15/25,600519,1420.98,1411,1422.93,1408.32,35406,5005150165,0.28
7/16/25,600519,1410.01,1411.03,1417.49,1409.95,21286,3006882579,0.17
7/17/25,600519,1413.98,1416.35,1423.01,1412.88,23106,3273100406,0.18
7/18/25,600519,1420,1437,1437.81,1416.38,41823,5984949774,0.33
7/21/25,600519,1436.99,1443,1446.8,1435,26203,3779891829,0.21
7/22/25,600519,1444,1464.98,1466.6,1440.68,42119,6127636851,0.34
7/23/25,600519,1469,1475.5,1495,1468.95,45045,6676301462,0.36
7/24/25,600519,1476,1491.5,1499,1475,38804,5786337377,0.31
7/25/25,600519,1491.4,1455,1491.4,1453,41911,6140078741,0.33
7/28/25,600519,1453,1438.66,1454.99,1436.3,38586,5560966386,0.31
7/29/25,600519,1439.6,1439,1448.79,1435.01,26304,3785848102,0.21
7/30/25,600519,1444,1449.44,1457.16,1437,31868,4612883040,0.25
7/31/25,600519,1443,1421.67,1444.87,1418,51798,7386302758,0.41
8/1/25,600519,1421.87,1417,1425.96,1414,29636,4200850790,0.24
8/4/25,600519,1415,1419,1419.8,1414,18688,2647105740,0.15
8/5/25,600519,1421,1427.74,1429.94,1417.11,25342,3607931488,0.2
8/6/25,600519,1429,1423.88,1429,1419.3,23699,3372334940,0.19
8/7/25,600519,1423.88,1422.35,1427.7,1420.06,28001,3988765795,0.22
8/8/25,600519,1423.05,1420.97,1426.5,1418,18655,2651478118,0.15
